station_name,lon,lat
一步滩,104.682543,28.8892032
一间堡,125.3517872,43.9996151
一面坡,128.0753067,45.0594057
一面坡北,128.0804431,45.0837121
一面山,124.091095,40.3475811
七台河,130.8952944,45.8096799
七台河西,130.7738473,45.7423244
七宝,121.3235415,31.160489
七泉湖,89.4662251,43.130286
七甸,102.9786798,24.9339606
七苏木,113.1848794,41.0776615
七营,106.1400983,36.5017084
七道桥,118.0705364,39.5234369
七里河,121.2513615,41.3370102
七龙星,106.4317704,29.2326114
万乐,126.4571241,45.8831297
万发屯,127.1157325,46.5337783
万宁,110.3768372,18.8094118
万安县,114.8386311,26.5286066
万家屯,119.8630875,40.0412055
万州,108.3950425,30.7569356
万州北,108.3621441,30.8655821
万年,117.0748814,28.6884685
万庄,116.5892606,39.5726056
万水泉,109.9294018,40.5905537
万水泉南,109.8910476,40.5774965
万源,108.0372914,32.0866481
万荣,102.4561100,18.9536100
三义井,120.2472857,42.6992618
三义村,109.0906385,34.4071616
三井子,125.3400179,45.1034691
三亚,109.4886823,18.2986924
三元区,117.6025032,26.2436536
三元坝,106.8335146,28.4940388
三元西,117.3800103,26.1765512
三关口,106.3920102,35.6649131
三十家,119.048356,41.0126447
三十里堡,121.7927137,39.2649587
三十里铺,117.3994479,31.877383
三原,108.943015,34.6065348
三台,123.1544656,41.9486111
三合庄,115.7078918,39.6344352
三堂集,115.8155832,33.3387278
三堆子,101.8238482,26.5993893
三家寨,104.7245624,26.1592155
三家店,116.1142284,39.9491196
三岔湖,104.3302587,30.3673715
三平,116.9962787,39.9614912
三把火,118.6723475,42.2948381
三明,117.5853164,26.2329222
三明北,117.8018037,26.3788958
三星堆,104.2080978,30.9438936
三桥,108.8271978,34.291626
三水,112.8829658,23.162562
三水北,112.9135497,23.187404
三水南,112.8659875,23.1158845
三汇坝,106.5790997,30.0605312
三汇镇,107.1658542,31.0149093
三江,106.6988776,28.95048
三江南,109.5715732,25.7286956
三江县,109.567536,25.838407
三江口,123.7146774,43.3685586
三江镇,115.9779302,28.3111123
三河县,117.0857801,39.9713221
三源浦,125.7546436,42.0536983
三灶东,113.3982977,22.0425666
三穗,108.6472985,26.9683801
三花石,107.959068,33.1014194
三营,106.1444969,36.2906333
